Time_Index,Drift_Type,Top_Features,Errors
949,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(52.60595310199054), np.float64(11.08551558650945), np.float64(8.28402594431316)]"
950,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(38.38072863183483), np.float64(5.994566669544331), np.float64(5.812388863502973)]"
951,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(28.177337969170075), np.float64(4.375281217520973), np.float64(3.1911498141250396)]"
958,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(12.232570220460218), np.float64(1.9725308842375138), np.float64(1.7408224249495539)]"
964,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(321.463670443833), np.float64(105.32760233771008), np.float64(67.16125689130001)]"
965,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE', 'BORE_OIL_VOL']","[np.float64(626.90246944517), np.float64(130.71696912353667), np.float64(120.64507466361829)]"
966,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(1052.7774184550588), np.float64(207.56413590282895), np.float64(167.63905509886226)]"
967,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(1567.9617561882558), np.float64(254.25236804118276), np.float64(157.39015208385084)]"
968,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(1654.5930385394026), np.float64(377.47057038019733), np.float64(196.44140062749744)]"
969,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(1793.6282456312194), np.float64(399.7979320900901), np.float64(202.6389080079283)]"
970,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2180.83494490684), np.float64(451.0419101969176), np.float64(270.7263258704082)]"
971,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2180.597840034575), np.float64(451.4820113705473), np.float64(270.8809793148768)]"
972,Environmental Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2180.907099816634), np.float64(451.80685077248853), np.float64(271.06604651514243)]"
973,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2181.2992311234357), np.float64(452.1256421559704), np.float64(271.4155973285409)]"
974,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2180.0414371040933), np.float64(452.57354084448673), np.float64(271.79179910884636)]"
975,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2177.470821061054), np.float64(453.06848849048095), np.float64(272.07086351018785)]"
976,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2178.175014162792), np.float64(453.26685916065907), np.float64(271.91061189421674)]"
977,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2178.2143408736224), np.float64(453.18417172473016), np.float64(271.8863736215696)]"
978,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2177.215666829901), np.float64(453.25134096168756), np.float64(272.1276196873109)]"
979,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2178.968390035011), np.float64(453.2033344269594), np.float64(271.7679897172195)]"
980,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2184.6963937677774), np.float64(452.6656066153513), np.float64(271.45609031553516)]"
981,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2179.4761233226914), np.float64(452.77795442288533), np.float64(271.2263456405673)]"
982,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2180.3378051420727), np.float64(453.14526163360824), np.float64(271.30045964247927)]"
983,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2180.77977161304), np.float64(453.02282287388863), np.float64(271.0947598006364)]"
984,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2179.762211181208), np.float64(453.385217839302), np.float64(271.364227331018)]"
985,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2179.0848333853396), np.float64(453.8554421185219), np.float64(271.7709219793399)]"
986,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2178.7874609415453), np.float64(454.3947109205815), np.float64(272.15866025114883)]"
987,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2178.0611753191893), np.float64(454.94321664910757), np.float64(272.5739012744552)]"
988,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2160.5112658773496), np.float64(455.8930024128087), np.float64(272.37788364872773)]"
989,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2192.0858035234187), np.float64(455.49378091639454), np.float64(272.37540665025)]"
990,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2170.2409346631084), np.float64(455.77337537823297), np.float64(273.7183289517733)]"
991,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2184.9344948202624), np.float64(457.79910566045317), np.float64(274.52438074136364)]"
992,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2181.324843575866), np.float64(457.3295639059929), np.float64(273.55180670856896)]"
993,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2182.8814859193635), np.float64(457.7443308528814), np.float64(274.20012900734815)]"
994,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2181.8171353535904), np.float64(457.4201740218988), np.float64(274.74895114842286)]"
995,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2098.793017990954), np.float64(454.6266906697259), np.float64(269.7814467496788)]"
996,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2168.992112687238), np.float64(461.79801005614775), np.float64(273.0539987488846)]"
997,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2140.7319114695265), np.float64(457.3880376985402), np.float64(273.85089247868416)]"
998,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2179.7594772523394), np.float64(464.14274748574354), np.float64(274.9786442855184)]"
999,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2176.363338361913), np.float64(463.24995649786035), np.float64(274.8542205178702)]"
1000,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2185.703386820099), np.float64(464.5008952392601), np.float64(275.5851500307965)]"
1001,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(2192.5778012527776), np.float64(462.58084289397493), np.float64(275.7794371244754)]"
